customer_text,historical_reply,intent,expected_action,escalation_reason
@SpotifyCares https://t.co/RLvNj5Ifow - you having a party without me?,"@116376 Hey Tom! Not to worry, we're more than happy to bring the party to your place. Would you mind sending this invite out to everyone you know? https://t.co/LwyCWf8WKC 🎉 /TB",Other/General,Escalate,Unclear customer request
"@SpotifyCares i have a bigger issue. songs would stop playing after a few seconds but continues after half a min or so, i cant pause music bc it just---","@124925 Hey Wen! What device, operating system, and version of Spotify are you using? We'll look into this /SY",Playback,Auto-handle,
"@SpotifyCares Hey! So if I have a playlist with say 20 songs and 15 artists, it plays the songs by each artist grouped together on shuffle (so 4 by the","@127359 Hey there! What's happening exactly? Can you let us know the device, operating system, and app version you're using? /PB",Playback,Auto-handle,
@SpotifyCares It’s playing the new Selena/Marshmello songs music video. Also playing a random song at the same time and you can’t pause the video,"@128140 Hey! Can you give us more info on what's happening? Also, what device, OS, and Spotify version are you using? /CB",Playback,Auto-handle,
"@SpotifyCares When banner ads try to load in the web player, audio playback freezes until the ad loads. If it’s a video ad audio from the ad mixes with the music until it all freezes and is stuck for about 30 seconds to a minute.  when ads load hundereds of errors get spewed into dev console.",@129423 Hey Jack! You can let us know here. What's happening exactly? Can you tell us more info about it? /JE,Technical/App Issue,Auto-handle,
@SpotifyCares @137384 The algorithm isn’t the best but my shuffle won’t even work in the iPhone App right now.  When you hit shuffle you can see in the background it tries to shuffle but then just resets to the playlist order and when you skip to the next song shuffle turns off,@137384 Hi there! Sorry to hear you feel that way. We’ve made some changes to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/AdMgwOmTIH /XF,Playback,Auto-handle,
"@SpotifyCares Thanks for getting back to me. My question is - when you ""shuffle"" a playlist is it truly random?  For at least the past year it feels like the same songs keep coming up even though there are over 2k on the playlist.","@154709 Hey there! Thanks for the feedback. Your Time Capsule is made of personalised content uniquely created based on your previous listening patterns. Just to check, are you experiencing issues with the Shuffle feature on all of your playlists? /PC",Playback,Auto-handle,
"@SpotifyCares It's with most tracks, maybe 2-10 brief pops or skips during each track. But not when the screen is on. And not when dwnlded normal quality.",@159744 Thanks. Are you having this issue with every track? Did this start happening after a specific update? /RH,Playback,Auto-handle,
@SpotifyCares It's happening when I shuffle my songs library. I'll DM you my account details,"@164935 Got it. Is this happening when you're streaming a specific playlist? If so, could you send us a link to it? /KB",Playback,Escalate,Account-specific issue
@SpotifyCares at first it was fine then it skipped to another song,@170376 Got it. Can you try to see if following the steps at https://t.co/46sWVpIvlI makes a difference? /DV,Playback,Auto-handle,
@SpotifyCares No it's a downloaded playlist. It stops playing half way through the song. You can't skip forward or back then the app crashes,"@175424 Got it. Just to check, are you getting any specific error messages? If so, a screenshot can be handy /NG",Technical/App Issue,Auto-handle,
"@SpotifyCares Over all connection, I get this notification from the phone as for loving in and out I did a fresh install, no luck!","@116387 Thanks. Is it happening over 3G/4G, WiFi, or both? Does logging out, fully closing the app, and restarting your device help? /KC",Technical/App Issue,Auto-handle,
@SpotifyCares No just on my phone since I installed iOS 11. Mostly on 3G/4g. It’s very random when it decides not to work.,"@116887 Got it. Is this happening on 3G/4G, WiFi, or both? Do you get the same issue when you use Spotify on other devices? /KB",Technical/App Issue,Auto-handle,
@SpotifyCares I tried uninstalling the program in safe mode but it still doesn't work,"@119724 1: Can you try restarting your computer in Safe Mode with Networking, then uninstalling the app? There's more info about advanced...",Technical/App Issue,Auto-handle,
"@SpotifyCares Followed the procedure 3 times, no luck :-( Anyway it's not so urgent as I can also stream to my Bluetooth speaker from my iPhone. Hope the next update fixes it ;)",@122505 Hmm. Best thing to try here is a quick reinstall. Just follow the steps at https://t.co/grEcQYYFVS. Keep us posted /NS,Technical/App Issue,Auto-handle,
@SpotifyCares iPhone 6s and version 11.1,@123395 Thanks. Could you let us know the exact iOS device and version? We'll see what we can suggest /RS,Technical/App Issue,Auto-handle,
"@SpotifyCares Just closing and reopening the app fixes it, but it’s intermittent","@124701 Hey Nathan, that's odd. Can you try logging out, restarting your device, then logging back in? Does that help? /JE",Technical/App Issue,Auto-handle,
@SpotifyCares i’m trying to transfer local files from my macbook air with macOS sierra version 10.12.6 to my iphone 7 with ios 11 and spotify version 8.4.28.1104,"@125830 Hi there, that doesn't sound good! Can you let us know the device, operating system, and Spotify version you're rocking? We'll see what we can suggest /AK",Technical/App Issue,Auto-handle,
"@SpotifyCares On iphone app in folder wich i create on PC and put inside some playlist i dont have play button like in PC app
Tnaks","@121069 Hi there, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us in the loop /JI",Technical/App Issue,Auto-handle,
"@SpotifyCares What keywords besides ""playlist"", ""playlists"", + ""song"" would I use?",@116393 2: resending your ideas and using keywords that will help your idea easier to find /RB,Feature Request,Auto-handle,
"@SpotifyCares That stinks. Can you make it a feature, off by default, that I can enable?",@116885 Hey! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /RH,Feature Request,Auto-handle,
@SpotifyCares Doesn’t show in lock screen. Can’t adjust volume of phone isn’t unlocked also.,@116891 Hey there! Can you tell us more about what's happening exactly? We'll see what we can suggest /AR,Technical/App Issue,Auto-handle,
@SpotifyCares Yes I did. The dude even said thanks for watching now enjoy your 30 mins of ad free music.,"@117167 Hey Terry, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RA",Ads/Promotions,Auto-handle,
@SpotifyCares So why let non premium customers even select them.? Pointless.,"@122049 Hey there! We're afraid playing Audiobook on-demand is a Premium feature. Thanks for the feedback, we’ll get this passed onto the right team. For anything else, let us know /GU",Subscription/Payment,Auto-handle,
@SpotifyCares can you please add a feature to only view releases from artist you follow.,"@124188 Hey Rahger! Thanks for sharing your thoughts, we'll let the relevant folks know it's something you'd like to see /SY",Feature Request,Auto-handle,
@SpotifyCares Thanks! I really hope you add the option to only view new releases from artist that we follow.,@124188 Don't worry - we'll make sure to pass your feedback on to the relevant folks 😁 /SY,Feature Request,Auto-handle,
"@SpotifyCares The “time capsule” playlist is suggesting music that I haven’t listened to in 15 years, so I am curious as to how you even know this info.",@124328 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /PL,Technical/App Issue,Auto-handle,
@SpotifyCares It sometimes takes forever to scroll ALL the way down to get to the singles. Just make an option to go straight to singles.,@125449 Hey Callum! We're always open for feedback. Can you give us a bit more info about your idea? We'll be waiting /MC,Feature Request,Auto-handle,
"@SpotifyCares Sure! It’s a concept album, so order is important. ☺️ Thanks! https://t.co/LRdM0G5fmo",@125642 Hey there! Can you send us the album's Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll take a look backstage /PB,Content Availability,Auto-handle,
@SpotifyCares I’m in the US and I don’t have a link to the album because it’s not streaming. :(,"@127243 Hey there! Can you send us the link to the album? Also, what country is your Spotify account set to? /DN",Content Availability,Auto-handle,
"@SpotifyCares Yes, the whole City Bank ad played and I waited and then heard one song and then got multiple afterwards.","@127775 Thanks! Just to check, did you definitely watch the video ad that gives 30 minutes ad-free listening in full after hearing the offer? /JX",Ads/Promotions,Auto-handle,
@SpotifyCares Al necessary updates done. Empty cache done... web based spotify is faster. But I think my Spotify Premium deserves to be fast.,@128142 Thanks for the info. How long has this been happening for? What troubleshooting have you tried so far? /CB,Technical/App Issue,Auto-handle,
@SpotifyCares Always been like that. Restarting the app helps for a few minutes.,@128142 Thanks for letting us know. When did this start happening? Does logging out and back in help? You can also try restarting the app /CB,Technical/App Issue,Auto-handle,
@SpotifyCares Can I use Paypal linked to my UK bank account?,"@128146 Hey! If you're in Canada, you'll need to sign up using a Canadian payment method. We hope that clears everything up /CB",Subscription/Payment,Auto-handle,
@SpotifyCares AC/DC....,"@116394 Hey Dustin, we're sorry to hear that! Can you let us know the name of the artist of that track? We'll check it out /NS",Feature Request,Auto-handle,
"@SpotifyCares Well done, guys. 👍🏼 https://t.co/s9HZ9EqjEX",@116394 Thanks. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS,Content Availability,Auto-handle,
"@SpotifyCares Nothing, same problem seems to be happening to a lot of people.","@116887 Are you getting any error messages when it happens? Is it happening when you're using earphones, or even without them? /PL",Technical/App Issue,Auto-handle,
@SpotifyCares Didn’t work,@116887 We understand. Can you check if the steps here do the trick: https://t.co/cxGHt0bCR8? /PL,Technical/App Issue,Auto-handle,
@SpotifyCares Works. Blame IOS update.,@116891 Thanks for the info. Could you try logging out &gt; restarting your device &gt; logging back in to see if it helps? Keep us posted /AR,Other/General,Escalate,Unclear customer request
@SpotifyCares Shot it off thanks,"@117435 Hey there! Don't worry, help's here. Can you DM us your account's email address? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",Ads/Promotions,Auto-handle,
@SpotifyCares Android 6.0.1 and Spotify version 8.4.25.771 armV7,@117527 Hey there! Can you let us know what Android and Spotify versions you're running? We'll see what we can suggest /NS,Technical/App Issue,Auto-handle,
@SpotifyCares With spotify open both on my computer and phone I added a local file to a playlist on my computer. ...,@117528 Hey there! Can you let us know what's happening exactly? We'd love to lend a hand /KC,Technical/App Issue,Auto-handle,
@SpotifyCares Shout! be in India soon ..,"@117529 Awesome! Fingers crossed we'll be available in India soon. If there's anything else, just give us a shout /RH",Technical/App Issue,Auto-handle,
@SpotifyCares Here is this pop up that keeps coming up,@117670 Hey Eva! We've just sent you a DM. Let's continue chatting there /NS,Content Availability,Auto-handle,
@SpotifyCares I'm new at this how do i DELETE and what's dm,"@117670 Thanks, but we'd suggest deleting your tweet as it contains some sensitive info. Can you send it via DM? Let's continue chatting there /CH",Other/General,Escalate,Unclear customer request
@SpotifyCares  https://t.co/q9W8qeRwrw,@117670 Hey Eva! We've just sent you a DM. Let's continue chatting there /NS,Other/General,Escalate,Account-specific or unclear request
@SpotifyCares Okay sent,@117673 Can you DM us your account's email address? We'll take a look backstage /KC https://t.co/ldFdZRiNAt,Feature Request,Auto-handle,
@SpotifyCares You DO care 😭,@119468 Hey there! Here's a whole playlist of songs we think might help: https://t.co/k0bYw0dCVA /NQ,Other/General,Auto-handle,
@SpotifyCares I can log in but I get no sound after selecting play?,@119559 Hi there! What's happening exactly? Are you having issues loading the app? We'll see what we can suggest /NQ,Technical/App Issue,Auto-handle,
"@SpotifyCares First it was quiet, then a ring of people closed in on me from the shadows, chanting Top 100 hits. Before I knew it, I woke in a cold sweat.",@119645 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /NS,Other/General,Escalate,Unclear customer request
"@SpotifyCares Every song, and no","@121073 Hmm. Is this happening after a specific song plays? Also, are you using a wired or wireless connection? /AY",Content Availability,Auto-handle,
"@SpotifyCares Latest version, it only freezes when I play from the side menu on my ps4","@121073 Just to confirm, are you listening on PlayStation via Connect? If so, what device, operating system, and Spotify version are you using? /AY",Other/General,Escalate,Unclear customer request
@SpotifyCares You better not be late! https://t.co/hPTQBBUdAM,@122125 Hey! We're launching in new countries as often as possible. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /AC,Technical/App Issue,Auto-handle,
@SpotifyCares Why spotify not allowed in Saudi Arabia?????????? And when it will be allowed?? I waited for long time!!,Resurrect your playlists 👻 https://t.co/8y3l3q8xEQ,Content Availability,Auto-handle,
"@SpotifyCares Yep, tried several times, didn't fix :(",@122505 Thanks. Can you try logging out &gt; restarting your device &gt; logging back in help? Let us know how it goes /RS,Content Availability,Auto-handle,
@SpotifyCares I’m using the newest version of iOS and the 8.4.25 version of spotify,@123395 Hey there! Can you let us know the iOS and Spotify versions you're using? We'll take a look backstage /RS,Technical/App Issue,Auto-handle,
@SpotifyCares So can I not go back to the normal spotify cause I’m not really to fond of this version?,@123395 Got it. It looks like you're seeing one of the changes that we've recently made to the app. We're always testing...,Technical/App Issue,Auto-handle,
"@SpotifyCares Can’t tell straight away, need to see the music behaviour for a bit. Will get back as soon as i know :)",@123396 Thanks. Does logging out &gt; restarting your device &gt; logging back in again make any difference? /KM,Feature Request,Auto-handle,
@SpotifyCares Sorted now 👍🏿 turns out when someone uses it on my laptop it changes my phone too 🙈,"@124013 Hey Paul. Can you tell us more about what's happening? What device, operating system, and Spotify version are you on? /AY",Other/General,Escalate,Account-specific login issue
@SpotifyCares I said I fixed it.thanks.,"@124015 Hey there, help's here. Just to check, were you able to get your playlists set up like you want? Keep us in the loop /MQ",Technical/App Issue,Auto-handle,
@SpotifyCares  https://t.co/u6pNtYSNYS,@124503 Can you also check the exact Spotify version you're using? Just go to Your Library &gt; Settings &gt; About &gt; Version 🙂 /RR,Feature Request,Auto-handle,
@SpotifyCares Thanks. Here's the link: https://t.co/Luc4FiDrIm,@116393 Hi Daniel! Can you send us the link to the idea you posted? We'll take a look at what happened 🙂 /NH,Feature Request,Auto-handle,
@SpotifyCares I feel like my idea has similar keywords as the one I was told to go to – that's closed and can no longer be voted on.,"@116393 We suggest using keywords similar to those used in the suggested idea. If you need anything else, give us a shout /RB",Feature Request,Auto-handle,
@SpotifyCares I used to use that feature as an example of great UX. 😂🙈🙉🙊,@116885 We hear you. We can’t make any promises but we’ll pass your feedback onto the right folks /RH,Feature Request,Auto-handle,
"@SpotifyCares @116885 I can't fathom why you'd get rid of such an unique, useful feature. us heavy-users feel truly alienated/betrayed. please make this right!",@116885 Hey! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /RH,Feature Request,Auto-handle,
@SpotifyCares Spotify 8.4.25.906 and iOS 11,@116887 Hey! The cavalry's here. Could you confirm the iOS and Spotify version you're using? We'll see what we can suggest /KB,Technical/App Issue,Auto-handle,
@SpotifyCares No it didn't crash. I was cooking dinner and heard about 3 songs. Each song is about 2-3 mins. After the third song the ad played.,"@117167 Hey Terry, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RA",Ads/Promotions,Auto-handle,
@SpotifyCares I login with facebook (__email__) - but i think my email account for spotify is my old one (__email__)  that is now defunct. What can I do?,@117482 Hey Richard! We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /CH,Other/General,Escalate,Account-specific login/email issue
@SpotifyCares Done - but disappointed this post has been running since 2012 and nothing has been done about it.  #GiveListenersTheChoice,@117672 2: recommend showing your support for the idea here: https://t.co/CdI1SY9KZE /KB,Feature Request,Auto-handle,
@SpotifyCares I just tried to open the link and it gives me a 404,"@118383 2: You might be interested in Premium for Family. More info at https://t.co/KJ8ayuKPFM. Any questions, give us a shout 🙂 /KC",Technical/App Issue,Auto-handle,
@SpotifyCares its on PS4 btw..,@119559 Hi there! What's happening exactly? Are you having issues loading the app? We'll see what we can suggest /NQ,Technical/App Issue,Auto-handle,
@SpotifyCares No I can't,@119724 Hey there! Are you able to uninstall the app after restarting your computer? We'll see what else we can suggest /NQ,Other/General,Escalate,Unclear customer request
"@SpotifyCares No worries. It was just this that happened. 

https://t.co/Wy1mUOr1VK",@119789 Hey Eric! Can you let us know what's happening exactly? We'll see what we can do /NS,Other/General,Escalate,Unclear customer request
@SpotifyCares Still not there :(,@120940 Thanks. Could you try logging out of the app and back in again? Does it now show your New Releases? /GK,Content Availability,Auto-handle,
@SpotifyCares already tried with an other computer and for the password dont need it im loggin with my facebook account !,"@123872 You can try using a different computer to see if it helps. Also, try resetting your password at https://t.co/jGP5GWOoVY /CB",Other/General,Escalate,Account-specific login issue
"@SpotifyCares Here it is 
https://t.co/waO48RizBo",@124506 Hey there! Can you send us a link to the album you're referring to? We'll take a look /PL,Content Availability,Auto-handle,
"@SpotifyCares https://t.co/s5wVyP2vKf labeled as Breezeblocks but is actually Fitzpleasure https://t.co/gpvecBA8UJ
Thanks so much!",@124511 Hey Angie! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check it out /SY,Technical/App Issue,Auto-handle,
@SpotifyCares I am listening from the United States and my account is set in the U.S. as well. Hope that helps.,"@124511 Hmm, everything looks good on our end. Can you tell us the country that your account is set to? /SY",Content Availability,Auto-handle,
"@SpotifyCares Work laptop(i7 8gb) Windows 10, chrome","@124710 Hey! That's not cool. What device, operating system, and browser are you using? We'll see what we can suggest /MV",Technical/App Issue,Auto-handle,
"@SpotifyCares No error messages, the music just cuts out every 10-15 seconds.",@124710 Thanks. Are you getting any specific error messages? A screenshot would come in handy /MV,Playback,Auto-handle,
"@SpotifyCares Spotify think I get wrong password, so I try to reset my password with myusername: linalthf, but I forgot what e-mail I used. Can u help me?","@124711 Hey Lina! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /GU",Other/General,Escalate,Account-specific login issue
"@SpotifyCares Windows 7, 15GB Ram, Spotify version 1.0.66.478.g1296534d","@125451 Hey there! Help's here. Can you let us know the device, Windows, and app versions you're using? We'll see what we can suggest /PB",Technical/App Issue,Auto-handle,
@SpotifyCares My laptop runs on Windows 10 and my Spotify is the latest update,@125853 Got it. Could you also get back to us with the OS and Spotify version you're using on your computer? /MT,Technical/App Issue,Auto-handle,
@SpotifyCares I tried that multiple times,@125853 Thanks for the info. Does reinstalling the app on both devices help at all? You can follow the steps here: https://t.co/EqisDMwZAT /MT,Technical/App Issue,Auto-handle,
"@SpotifyCares Yes, I even reset their locations to see if that would work but it didn't","@125853 Just to make sure, have you tried steps laid out here: https://t.co/SgMwFS1ONz? Keep us posted /MT",Technical/App Issue,Auto-handle,
@SpotifyCares Yes they are. And I've tried the other networks available to me,"@125853 Hmm, that's odd. Are both devices connected to the same WiFi network? We'd also recommend using different connections /MT",Technical/App Issue,Auto-handle,
@SpotifyCares Chile.,"@125856 Hey Lucas! Just to check, what country is your Spotify account set to? /MT",Content Availability,Auto-handle,
"@SpotifyCares Hello, I've tried to tell my problem from the website https://t.co/CjnbQxnYv1 but until now I can't get my premium account back, I still can't logged in to my account :( @115888 @118266 @SpotifyCares","@125858 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /NQ",Subscription/Payment,Escalate,Account/login issue requiring human troubleshooting
@SpotifyCares Thx but I tried this many times :( It says “you previously logged in to Spotify with FB” and I don’t know how to change that 😕,@125921 2: For more info on how to connect a Facebook profile to your Spotify account check: https://t.co/fI2NF40484 /TY,Other/General,Escalate,Account-specific Facebook login issue
@SpotifyCares That’s annoying. 🙃,"@126143 Hi Karen! You can save up to 3,333 offline tracks on your offline device. More info at https://t.co/WSjJgGAmPy /DV",Other/General,Escalate,Unclear customer request
@SpotifyCares thank you i hope so too,@126367 We hear you loud and clear. Fingers crossed we'll be able to have it soon /JI,Feature Request,Auto-handle,
@SpotifyCares I tried it on web browser and it worked! 😊,"@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB",Technical/App Issue,Auto-handle,
@SpotifyCares https://t.co/T85iGba29f,@116395 Alright. Can you send us the Song Link then? Just tap the three dots &gt; Share &gt; Copy Link. We'll have a look /AG,Content Availability,Auto-handle,
@SpotifyCares I'll check it out. Thank you,"@118383 2: You might be interested in Premium for Family. More info at https://t.co/KJ8ayuKPFM. Any questions, give us a shout 🙂 /KC",Feature Request,Auto-handle,
@SpotifyCares Nevermind. I just googled it 😬,"@118383 2: You might be interested in Premium for Family. More info at https://t.co/KJ8ayuKPFM. Any questions, give us a shout 🙂 /KC",Feature Request,Auto-handle,
@SpotifyCares How about you guys just make it happen as it will be an increased revenue stream and it's the right thing to do?,"@124502 Hi Jared, that'd be sweet! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /GK",Feature Request,Auto-handle,
@SpotifyCares https://t.co/tGbLK4aErF This is what Breezeblocks should sound like! Just to make your job easier.,@124511 Hey Angie! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check it out /SY,Content Availability,Auto-handle,
"@SpotifyCares no, it's working as intended cutting from the last manson album to an endless stream of ""suggested songs"" of bland shitty metal #thanks","@126758 Hey! Is your Spotify misbehaving? You can tell us more about it, and we'll see what we can do to help /MS",Playback,Auto-handle,
@SpotifyCares I've tried using 2 and for both cases search is kind of on-and-off. Usually off when I sleep my computer and go back to spotify,"@126762 We understand. Can you try using a different internet connection, and see if it makes a difference? /GU",Technical/App Issue,Auto-handle,
@SpotifyCares 1972mazz is one of them. It doesnt have anything to do with the account. its the application on a macbook,@126763 That's odd. Can you DM us your account's email address? We'll take a look under the hood /QI https://t.co/ldFdZRiNAt,Technical/App Issue,Auto-handle,
@SpotifyCares but when it's been 9 years since Spotify was launched,@126823 Hey Prajwal! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /K,Content Availability,Auto-handle,
@SpotifyCares Yeah it's been doing it for a while but I made a new playlist to test fully. So it's not just a new update? Do I try redownloading the app?😊,"@127359 That's odd. Just to check, does it do the exact same thing when you shuffle it again? /MU",Playback,Auto-handle,
"@SpotifyCares Never crashed, so idk","@127775 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /JX",Ads/Promotions,Auto-handle,
"@SpotifyCares @127972 Spotify on iPhone or web has all of the functionality (Spotify/user created playlists, daily mixes, etc) and a nice UI, Roku app has nothing",@127971 @127972 Hi Dave! We're sorry to hear you feel that way. Can you tell us more? We'll see what we can do about it /NH,Feature Request,Auto-handle,
@SpotifyCares And I’m using the desktop version on my laptop,"@128140 Hey! Can you give us more info on what's happening? Also, what device, OS, and Spotify version are you using? /CB",Technical/App Issue,Auto-handle,
@SpotifyCares The past 2 days. Laptop. Spotify Premium. Newest desktop update.,"@128140 How long has this been happening for? Can you let us know the device, OS, and Spotify version you're running? /CB",Technical/App Issue,Auto-handle,
@SpotifyCares HP EliteBook. Intel Core i7. Windows 10. https://t.co/PItTf0kvIq,"@128140 1:Thanks, but we need to know what laptop you're using, as well as the OS. We also need to know your exact Spotify version.",Technical/App Issue,Auto-handle,
@SpotifyCares Hard to describe but it’s basically playing 2 songs at once. Example is in the “Today’s Top Hits” Playlist.,"@128140 Hey! Can you give us more info on what's happening? Also, what device, OS, and Spotify version are you using? /CB",Playback,Auto-handle,
@SpotifyCares hmmmm seems like there's demand for it.,"@128141 Hey, we have some info about this here: https://t.co/xW1fRS96NG. Give us a shout if you have any other questions /CB",Feature Request,Auto-handle,
@SpotifyCares Hi ! It’s an iMac retina 5k late 2015. MacOs high Sierra v 10.13  spotify version 1.0.66.478.g1296534d,"@128142 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Technical/App Issue,Auto-handle,
@SpotifyCares Also I unlinked all local music files. No change... the program seems to search for something (on screen turning wheel),@128142 Thanks for the info. How long has this been happening for? What troubleshooting have you tried so far? /CB,Technical/App Issue,Auto-handle,
"@SpotifyCares Ok. Just to be sure, I'll listen to some country music, unless Spotify thinks I am into cowboys and indians next week. Lol.","@124332 1: Hey Thomas! It's based on your listening history, and on others who dig similar stuff. The more you listen, the better it gets.",Other/General,Auto-handle,
"@SpotifyCares iPhone 6s Plus, iOS 10.3.2, and the most recently updated version of Spotify","@128354 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Technical/App Issue,Auto-handle,
"@SpotifyCares It was not a question, more of letting you know that your documentation page is not working.",@128358 Hey Vishwajeet! Developer questions are probably best asked at https://t.co/TnmLH8i4bT. They'll be able to help out /JE,Technical/App Issue,Auto-handle,
@SpotifyCares Is there a way to increase the limit? I am a huge music fan and like to save and  browse my albums. This seems like a weird restriction.,"@128524 Hey! If you have 10,000 songs in Your Music, you won't be able to add more. Anything else, we're here for you 🙂 /ND",Feature Request,Auto-handle,
@SpotifyCares I voted but it seems pretty clear there's no intention to change this. Why is this limit in place? I want to browse an album collection.,"@128524 We hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69. Stay awesome 😁 /TY",Feature Request,Auto-handle,
