customer_text,spotify_reply
@SpotifyCares So why let non premium customers even select them.? Pointless.,"@122049 Hey there! We're afraid playing Audiobook on-demand is a Premium feature. Thanks for the feedback, we’ll get this passed onto the right team. For anything else, let us know /GU"
@SpotifyCares You better not be late! https://t.co/hPTQBBUdAM,@122125 Hey! We're launching in new countries as often as possible. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /AC
@SpotifyCares Why spotify not allowed in Saudi Arabia?????????? And when it will be allowed?? I waited for long time!!,Resurrect your playlists 👻 https://t.co/8y3l3q8xEQ
"@SpotifyCares Yep, tried several times, didn't fix :(",@122505 Thanks. Can you try logging out &gt; restarting your device &gt; logging back in help? Let us know how it goes /RS
"@SpotifyCares Followed the procedure 3 times, no luck :-( Anyway it's not so urgent as I can also stream to my Bluetooth speaker from my iPhone. Hope the next update fixes it ;)",@122505 Hmm. Best thing to try here is a quick reinstall. Just follow the steps at https://t.co/grEcQYYFVS. Keep us posted /NS
@SpotifyCares I’m using the newest version of iOS and the 8.4.25 version of spotify,@123395 Hey there! Can you let us know the iOS and Spotify versions you're using? We'll take a look backstage /RS
@SpotifyCares iPhone 6s and version 11.1,@123395 Thanks. Could you let us know the exact iOS device and version? We'll see what we can suggest /RS
@SpotifyCares So can I not go back to the normal spotify cause I’m not really to fond of this version?,@123395 Got it. It looks like you're seeing one of the changes that we've recently made to the app. We're always testing...
"@SpotifyCares Can’t tell straight away, need to see the music behaviour for a bit. Will get back as soon as i know :)",@123396 Thanks. Does logging out &gt; restarting your device &gt; logging back in again make any difference? /KM
@SpotifyCares Thank you! :),"@123541 Hey Val! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /AY"
@SpotifyCares already tried with an other computer and for the password dont need it im loggin with my facebook account !,"@123872 You can try using a different computer to see if it helps. Also, try resetting your password at https://t.co/jGP5GWOoVY /CB"
@SpotifyCares Sorted now 👍🏿 turns out when someone uses it on my laptop it changes my phone too 🙈,"@124013 Hey Paul. Can you tell us more about what's happening? What device, operating system, and Spotify version are you on? /AY"
@SpotifyCares I said I fixed it.thanks.,"@124015 Hey there, help's here. Just to check, were you able to get your playlists set up like you want? Keep us in the loop /MQ"
"@SpotifyCares Worked a treat, thanks","@124016 Hi Kitty, help's here! Can you try using an incognito window or a different browser? Let us know how it goes /PL"
@SpotifyCares can you please add a feature to only view releases from artist you follow.,"@124188 Hey Rahger! Thanks for sharing your thoughts, we'll let the relevant folks know it's something you'd like to see /SY"
@SpotifyCares Thanks! I really hope you add the option to only view new releases from artist that we follow.,@124188 Don't worry - we'll make sure to pass your feedback on to the relevant folks 😁 /SY
@SpotifyCares done!,@124189 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA https://t.co/ldFdZRiNAt
@SpotifyCares replied! :),@124189 Thanks! We've just sent a DM back your way. Let's carry on chatting there /TR
"@SpotifyCares The “time capsule” playlist is suggesting music that I haven’t listened to in 15 years, so I am curious as to how you even know this info.",@124328 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /PL
@SpotifyCares How about you guys just make it happen as it will be an increased revenue stream and it's the right thing to do?,"@124502 Hi Jared, that'd be sweet! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /GK"
@SpotifyCares  https://t.co/u6pNtYSNYS,@124503 Can you also check the exact Spotify version you're using? Just go to Your Library &gt; Settings &gt; About &gt; Version 🙂 /RR
"@SpotifyCares Here it is 
https://t.co/waO48RizBo",@124506 Hey there! Can you send us a link to the album you're referring to? We'll take a look /PL
"@SpotifyCares https://t.co/s5wVyP2vKf labeled as Breezeblocks but is actually Fitzpleasure https://t.co/gpvecBA8UJ
Thanks so much!",@124511 Hey Angie! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check it out /SY
@SpotifyCares https://t.co/tGbLK4aErF This is what Breezeblocks should sound like! Just to make your job easier.,@124511 Hey Angie! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check it out /SY
@SpotifyCares I am listening from the United States and my account is set in the U.S. as well. Hope that helps.,"@124511 Hmm, everything looks good on our end. Can you tell us the country that your account is set to? /SY"
"@SpotifyCares Just closing and reopening the app fixes it, but it’s intermittent","@124701 Hey Nathan, that's odd. Can you try logging out, restarting your device, then logging back in? Does that help? /JE"
"@SpotifyCares Work laptop(i7 8gb) Windows 10, chrome","@124710 Hey! That's not cool. What device, operating system, and browser are you using? We'll see what we can suggest /MV"
"@SpotifyCares No error messages, the music just cuts out every 10-15 seconds.",@124710 Thanks. Are you getting any specific error messages? A screenshot would come in handy /MV
@SpotifyCares Will do!,@124710 Got it. Could you try using an incognito window or a different browser to see if it helps? Let us know how it goes /NS
"@SpotifyCares Spotify think I get wrong password, so I try to reset my password with myusername: linalthf, but I forgot what e-mail I used. Can u help me?","@124711 Hey Lina! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /GU"
"@SpotifyCares i have a bigger issue. songs would stop playing after a few seconds but continues after half a min or so, i cant pause music bc it just---","@124925 Hey Wen! What device, operating system, and version of Spotify are you using? We'll look into this /SY"
@SpotifyCares It sometimes takes forever to scroll ALL the way down to get to the singles. Just make an option to go straight to singles.,@125449 Hey Callum! We're always open for feedback. Can you give us a bit more info about your idea? We'll be waiting /MC
"@SpotifyCares Windows 7, 15GB Ram, Spotify version 1.0.66.478.g1296534d","@125451 Hey there! Help's here. Can you let us know the device, Windows, and app versions you're using? We'll see what we can suggest /PB"
@SpotifyCares S/O for the comeback guys! 👌🏿,"@125632 Hey! We have some info on this here: https://t.co/EH3hl9mfQF, check it out 🙂 /L"
"@SpotifyCares Sure! It’s a concept album, so order is important. ☺️ Thanks! https://t.co/LRdM0G5fmo",@125642 Hey there! Can you send us the album's Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll take a look backstage /PB
@SpotifyCares i’m trying to transfer local files from my macbook air with macOS sierra version 10.12.6 to my iphone 7 with ios 11 and spotify version 8.4.28.1104,"@125830 Hi there, that doesn't sound good! Can you let us know the device, operating system, and Spotify version you're rocking? We'll see what we can suggest /AK"
@SpotifyCares I've sent you my acc's email address. Thank you :),@125852 Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt
@SpotifyCares My laptop runs on Windows 10 and my Spotify is the latest update,@125853 Got it. Could you also get back to us with the OS and Spotify version you're using on your computer? /MT
@SpotifyCares I tried that multiple times,@125853 Thanks for the info. Does reinstalling the app on both devices help at all? You can follow the steps here: https://t.co/EqisDMwZAT /MT
"@SpotifyCares Yes, I even reset their locations to see if that would work but it didn't","@125853 Just to make sure, have you tried steps laid out here: https://t.co/SgMwFS1ONz? Keep us posted /MT"
@SpotifyCares Yes they are. And I've tried the other networks available to me,"@125853 Hmm, that's odd. Are both devices connected to the same WiFi network? We'd also recommend using different connections /MT"
@SpotifyCares Chile.,"@125856 Hey Lucas! Just to check, what country is your Spotify account set to? /MT"
"@SpotifyCares Hello, I've tried to tell my problem from the website https://t.co/CjnbQxnYv1 but until now I can't get my premium account back, I still can't logged in to my account :( @115888 @118266 @SpotifyCares","@125858 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /NQ"
@SpotifyCares Already sent to your mailbox :) thank you so much for your help..,@125858 Thanks for the info. Can you DM us your account's email address? We'll take a look  backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt
"@SpotifyCares On iphone app in folder wich i create on PC and put inside some playlist i dont have play button like in PC app
Tnaks","@121069 Hi there, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us in the loop /JI"
@SpotifyCares Thx but I tried this many times :( It says “you previously logged in to Spotify with FB” and I don’t know how to change that 😕,@125921 2: For more info on how to connect a Facebook profile to your Spotify account check: https://t.co/fI2NF40484 /TY
@SpotifyCares That’s annoying. 🙃,"@126143 Hi Karen! You can save up to 3,333 offline tracks on your offline device. More info at https://t.co/WSjJgGAmPy /DV"
@SpotifyCares thank you i hope so too,@126367 We hear you loud and clear. Fingers crossed we'll be able to have it soon /JI
@SpotifyCares Thank you!,@126371 Hi Jeffrey! Can you send us a DM with your account's email address? We'll take a look under the hood /XF https://t.co/ldFdZRiNAt
"@SpotifyCares no, it's working as intended cutting from the last manson album to an endless stream of ""suggested songs"" of bland shitty metal #thanks","@126758 Hey! Is your Spotify misbehaving? You can tell us more about it, and we'll see what we can do to help /MS"
@SpotifyCares Thanks for your information 🙏🏼,@126759 Hey! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /TR
@SpotifyCares I've tried using 2 and for both cases search is kind of on-and-off. Usually off when I sleep my computer and go back to spotify,"@126762 We understand. Can you try using a different internet connection, and see if it makes a difference? /GU"
@SpotifyCares 1972mazz is one of them. It doesnt have anything to do with the account. its the application on a macbook,@126763 That's odd. Can you DM us your account's email address? We'll take a look under the hood /QI https://t.co/ldFdZRiNAt
@SpotifyCares I didn't say I wasn't enjoying it!,"@126822 2: your tastes next week. If anything else comes up, we're just a tweet away 🙂 /NG"
@SpotifyCares but when it's been 9 years since Spotify was launched,@126823 Hey Prajwal! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /K
@SpotifyCares I’m in the US and I don’t have a link to the album because it’s not streaming. :(,"@127243 Hey there! Can you send us the link to the album? Also, what country is your Spotify account set to? /DN"
"@SpotifyCares Hey! So if I have a playlist with say 20 songs and 15 artists, it plays the songs by each artist grouped together on shuffle (so 4 by the","@127359 Hey there! What's happening exactly? Can you let us know the device, operating system, and app version you're using? /PB"
@SpotifyCares Yeah it's been doing it for a while but I made a new playlist to test fully. So it's not just a new update? Do I try redownloading the app?😊,"@127359 That's odd. Just to check, does it do the exact same thing when you shuffle it again? /MU"
@SpotifyCares Hahahah thanks we soooooo excited,@127361 Woohoo! That's awesome. This calls for a https://t.co/ArJFNes23V 🎶 /CO
"@SpotifyCares Never crashed, so idk","@127775 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /JX"
"@SpotifyCares Yes, the whole City Bank ad played and I waited and then heard one song and then got multiple afterwards.","@127775 Thanks! Just to check, did you definitely watch the video ad that gives 30 minutes ad-free listening in full after hearing the offer? /JX"
"@SpotifyCares Will do, thank you",@127775 That's strange. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /JX
"@SpotifyCares @127972 Spotify on iPhone or web has all of the functionality (Spotify/user created playlists, daily mixes, etc) and a nice UI, Roku app has nothing",@127971 @127972 Hi Dave! We're sorry to hear you feel that way. Can you tell us more? We'll see what we can do about it /NH
@SpotifyCares And I’m using the desktop version on my laptop,"@128140 Hey! Can you give us more info on what's happening? Also, what device, OS, and Spotify version are you using? /CB"
@SpotifyCares The past 2 days. Laptop. Spotify Premium. Newest desktop update.,"@128140 How long has this been happening for? Can you let us know the device, OS, and Spotify version you're running? /CB"
@SpotifyCares HP EliteBook. Intel Core i7. Windows 10. https://t.co/PItTf0kvIq,"@128140 1:Thanks, but we need to know what laptop you're using, as well as the OS. We also need to know your exact Spotify version."
@SpotifyCares Hard to describe but it’s basically playing 2 songs at once. Example is in the “Today’s Top Hits” Playlist.,"@128140 Hey! Can you give us more info on what's happening? Also, what device, OS, and Spotify version are you using? /CB"
@SpotifyCares It’s playing the new Selena/Marshmello songs music video. Also playing a random song at the same time and you can’t pause the video,"@128140 Hey! Can you give us more info on what's happening? Also, what device, OS, and Spotify version are you using? /CB"
@SpotifyCares hmmmm seems like there's demand for it.,"@128141 Hey, we have some info about this here: https://t.co/xW1fRS96NG. Give us a shout if you have any other questions /CB"
@SpotifyCares Hi ! It’s an iMac retina 5k late 2015. MacOs high Sierra v 10.13  spotify version 1.0.66.478.g1296534d,"@128142 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB"
@SpotifyCares Also I unlinked all local music files. No change... the program seems to search for something (on screen turning wheel),@128142 Thanks for the info. How long has this been happening for? What troubleshooting have you tried so far? /CB
@SpotifyCares Al necessary updates done. Empty cache done... web based spotify is faster. But I think my Spotify Premium deserves to be fast.,@128142 Thanks for the info. How long has this been happening for? What troubleshooting have you tried so far? /CB
@SpotifyCares Always been like that. Restarting the app helps for a few minutes.,@128142 Thanks for letting us know. When did this start happening? Does logging out and back in help? You can also try restarting the app /CB
"@SpotifyCares Ok. Just to be sure, I'll listen to some country music, unless Spotify thinks I am into cowboys and indians next week. Lol.","@124332 1: Hey Thomas! It's based on your listening history, and on others who dig similar stuff. The more you listen, the better it gets."
@SpotifyCares Can I use Paypal linked to my UK bank account?,"@128146 Hey! If you're in Canada, you'll need to sign up using a Canadian payment method. We hope that clears everything up /CB"
"@SpotifyCares iPhone 6s Plus, iOS 10.3.2, and the most recently updated version of Spotify","@128354 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB"
"@SpotifyCares That did work, thank you so much!",@128354 Got it. Can you try to see if logging out &gt; restarting your phone &gt; logging back in to your account makes a difference? /DV
"@SpotifyCares It was not a question, more of letting you know that your documentation page is not working.",@128358 Hey Vishwajeet! Developer questions are probably best asked at https://t.co/TnmLH8i4bT. They'll be able to help out /JE
@SpotifyCares Is there a way to increase the limit? I am a huge music fan and like to save and  browse my albums. This seems like a weird restriction.,"@128524 Hey! If you have 10,000 songs in Your Music, you won't be able to add more. Anything else, we're here for you 🙂 /ND"
@SpotifyCares I voted but it seems pretty clear there's no intention to change this. Why is this limit in place? I want to browse an album collection.,"@128524 We hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69. Stay awesome 😁 /TY"
"@SpotifyCares It's not reasonable, though. None of your competitors have a limit, and the users who don't reach it would never notice if it was increased",@128524 2: constantly monitoring all feedback posted in our Community. Hopefully this is something we'll be able to implement in the future /NS
@SpotifyCares Thanks but the UK is not listed in the country list.,"@128529 2. be added in the future at https://t.co/2l94QYiAaU. For anything else, let us know /GU"
@SpotifyCares Will check and let you know. Thanks :),@128530 Thanks! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /TY
@SpotifyCares How can i see this while on desktop mode?,@128531 Hey Jack! Following an artist means you'll be notified whenever they release new content. Stay awesome 🙂 /ND
"@SpotifyCares Ok, thank you :)",@128532 Hey! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP 🙂 /KL
"@SpotifyCares __email__
PW: edeire20021967",@128725 That's odd! Can you DM us your account's email address and username? We'll take a look backstage /KL https://t.co/ldFdZRiNAt
@SpotifyCares Brett Eldredge: ‘Wanna Be that Song’ was removed from my library &amp; is no longer available to download,"@128727 Hey, help's here! Can you tell us what's happening exactly? We'll see what we can suggest /BE"
@SpotifyCares I can’t right click the track if the track is no longer viewable and/or no longer shows up when searched for.  My account is U.S.,"@128727 Can you send us the Spotify URI? Just right-click the track &gt; Share &gt; URI. Also, what country is your Spotify account set to? /BE"
@SpotifyCares  https://t.co/IXCq1LN5c0,@128729 Hey Mike! Can you send us a screenshot of what you're seeing? We'll see what we can suggest /KL
@SpotifyCares The playlist contains music from the last seven years. The amount of artists is not the issue. There's something wrong in the coding,"@128729 Thanks! To reduce the number of repeated Suggested Tracks, try adding more artists to your playlists /KL"
@SpotifyCares Tried that but none of it works. Album is Modal Soul by Nujabes in mp3 format. I can see the files in spotify but they just wont play.,@128930 Thanks. We'd suggest checking our support page at https://t.co/Qv6svydfvz for more info. Hope that helps /JE
@SpotifyCares Don't have another device to check with. I've installed quick time and a suggested codec and reinstalled spotify. Still doesnt work!,"@128930 Hmm. If possible, can you check if the same thing happens when using other devices? /JE"
@SpotifyCares Can you specify when you will update us ? https://t.co/4cwusQseh7 was last updated 1 year ago by Spotify?,@129061 Hey Mark! We don't have any info on this right now and thanks for bearing with us. Hopefully we'll have an update soon /GU
@SpotifyCares Please change your name SpotifyDoesntCare #SpotifyExlipicitFilter 5 years and counting,"@129061 We don't have any specific info to share about this, but make sure to keep an eye out on the idea in the community /PL"
@SpotifyCares Thank you for the support thoe,@129062 Hmm. Can you let us know the country you're currently in? We'll see what we can suggest /PB
@SpotifyCares Eygpt,@129062 Hmm. Can you let us know the country you're currently in? We'll see what we can suggest /PB
@SpotifyCares much appreciated!,"@129065 Hey there, we can see how that’d be useful! You can vote for the official idea here: https://t.co/Le9jT8ogaK /JX"
@SpotifyCares Doesn't really speak to my question. I asked why it is like that. It doesn't make sense to have a cap on a music library. #disappointed,"@129237 Hey Matt, sorry to hear you feel that way. We have more info about this here: https://t.co/59ABtm5Ftl /JP"
@SpotifyCares That makes ZERO sense. What does me having more songs in my library have to do with other people having less songs? Still no answer to why?,"@129237 We're sorry to hear you feel that way. This ensures a great experience for most users instead of an ""OK"" experience for 100% /JP"
"@SpotifyCares Neither that post nor you have answered the question why's there a limit. ""Because it's better"" isn't a response. Why is it better?","@129237 For more details about this, you can read the official response to the idea in our community: https://t.co/8OOl8B2i69 /JP"
"@SpotifyCares A post made in 2012, Spotify responds in 2016, and now its 2017.Doesnt seem to be on your radar or a good site for feedback.","@129239 Hi Andre! We hear you. To help make it happen, we’d recommend showing your support for the idea here: https://t.co/3jHA9etigY /MC"
@SpotifyCares Thank ya for passing it along.,"@129239 Sorry you feel that way. Don't worry, we'll give the right team a nudge about this. Hopefully this'll be available soon /MC"
"@SpotifyCares @129240 On another matter, I have Spotify Premium.  I’m spending February in Florida. Will I be able to access all my playlists online there?","@129240 Hey there! Thanks for sharing your feedback about this, we'll pass it on to the relevant folks /SY"
"@SpotifyCares From the Chrome console. 
Though I’ve had similar issues in Firefox too. https://t.co/WkaGOR8PWL",@129423 Hey Jack! You can let us know here. What's happening exactly? Can you tell us more info about it? /JE
"@SpotifyCares Everything is up to date. Clearing the cache  reduced the length of the freezes, but they still happen. Getting about 60-100 logged errors per freeze. 
Thanks!","@129423 Thanks! Just to check, have you tried clearing your browsers' cache and cookies? Are there any updates on your browsers' version? /JE"
@SpotifyCares Nope that doesn’t help. It happens on multiple devices.,"@129423 Gotcha. Does logging out, restarting your device, and logging back in help at all? Let us know how it goes /JE"
"@SpotifyCares When banner ads try to load in the web player, audio playback freezes until the ad loads. If it’s a video ad audio from the ad mixes with the music until it all freezes and is stuck for about 30 seconds to a minute.  when ads load hundereds of errors get spewed into dev console.",@129423 Hey Jack! You can let us know here. What's happening exactly? Can you tell us more info about it? /JE
@SpotifyCares 8.0.0 / latest.  It's only for some albums.  Same album I tested plays with correct volume in Groove.,@129638 Hey there! Can you let us know the Android and app versions you're using? We'll see what we can suggest /PB
"@SpotifyCares Multiple pairs of headphones, which are otherwise fine i.e. When using Groove","@129638 Got it. Just to check, do they sound quiet using a different headphones or other devices too? Keep us in the loop /PB"
"@SpotifyCares Thanks for the link but it wasn’t helpful, every other streaming service has the song available. It’s only that track, the rest are there.","@129639 Hey Leo! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /SY"
@SpotifyCares Foo fighters in Atalanta on 4/28. Possibly part of the credit card on file with Spotify...,"@129809 Hey Brian! Can you let us know the artist, date. and location of the concert/event? We'll see what we can find /JP"
@SpotifyCares In the middle of down with the sickness.,@130006 Hey John! Do ads play while you're streaming on the web player? Let us know - we'll look into this /SY
"@SpotifyCares So no, I haven't logged into the web player with incognito or private browsing",@130006 Thanks! Does it happen when you use the web player in an incognito or a private browsing window? /SY
@SpotifyCares Will do,@130006 Gotcha. Try giving it another go using an incognito window of your browser to avoid any cache-related issues. Let us know how it goes /SY
